epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.0012,1.41484,1.81912,0.00623,0.81904,0.54345,0.75018,0.4538,1.26171,1.60337,0.0144,0.000195652,0.000195652,0.0806304
2,12.9174,1.27197,1.01258,0.00567,0.76297,0.74429,0.81775,0.49914,1.34622,1.03551,0.01744,0.000356483,0.000356483,0.0607913
3,17.7429,1.24027,0.91149,0.00555,0.82325,0.76983,0.87449,0.53607,1.36884,0.87146,0.0176,0.000477713,0.000477713,0.0409125
4,22.5821,1.21194,0.85107,0.00521,0.84642,0.77698,0.88846,0.55835,1.25979,0.79975,0.01493,0.000559343,0.000559343,0.0209941
5,27.3506,1.17467,0.79803,0.0051,0.85005,0.78666,0.89891,0.57493,1.26407,0.79089,0.01519,0.000601374,0.000601374,0.00103616
6,32.0748,1.17749,0.77901,0.00504,0.85656,0.80409,0.9066,0.59373,1.22243,0.76925,0.01525,0.000505,0.000505,0.000505
7,36.9313,1.14556,0.75633,0.00502,0.86139,0.79381,0.90425,0.59062,1.23738,0.77467,0.01542,0.000406,0.000406,0.000406
8,41.5849,1.11963,0.7256,0.00484,0.86176,0.8056,0.91084,0.59461,1.21258,0.76216,0.01491,0.000307,0.000307,0.000307
9,46.2898,1.10958,0.70683,0.00472,0.86021,0.81591,0.9162,0.59307,1.23072,0.74203,0.01471,0.000208,0.000208,0.000208
10,50.9404,1.08725,0.69218,0.00469,0.86346,0.80833,0.91262,0.596,1.19893,0.74793,0.01465,0.000109,0.000109,0.000109
11,8.04297,1.34189,1.43936,0.00546,0.87108,0.78624,0.89617,0.55769,1.30051,0.82594,0.01729,0.0001,0.0001,0.0001
12,16.1848,1.13949,0.73629,0.00438,0.8527,0.79043,0.89596,0.58095,1.26324,0.80762,0.01724,9.93906e-05,9.93906e-05,9.93906e-05
13,25.1488,1.0872,0.68504,0.004,0.84872,0.74353,0.86717,0.56145,1.22889,0.94182,0.01615,9.75773e-05,9.75773e-05,9.75773e-05
14,33.1953,1.04836,0.62552,0.00388,0.87563,0.79276,0.89381,0.56012,1.33372,0.83285,0.0179,9.46048e-05,9.46048e-05,9.46048e-05
15,41.2192,1.00042,0.60817,0.00377,0.87934,0.80955,0.90146,0.57242,1.31163,0.80522,0.01755,9.05463e-05,9.05463e-05,9.05463e-05
16,49.2503,0.99409,0.57805,0.00364,0.87475,0.81261,0.89581,0.55406,1.37002,0.83353,0.01844,8.55018e-05,8.55018e-05,8.55018e-05
17,57.4186,0.95981,0.56925,0.00358,0.88286,0.81822,0.90933,0.55578,1.386,0.78359,0.01854,7.95954e-05,7.95954e-05,7.95954e-05
18,65.4317,0.95425,0.53652,0.00351,0.87965,0.82832,0.90696,0.58088,1.2978,0.76267,0.01731,7.29725e-05,7.29725e-05,7.29725e-05
19,73.4016,0.92279,0.5208,0.00335,0.87402,0.83785,0.90471,0.56218,1.37282,0.78227,0.01882,6.57963e-05,6.57963e-05,6.57963e-05
20,81.4381,0.90545,0.50476,0.00325,0.89293,0.82291,0.91335,0.57813,1.33202,0.75472,0.01804,5.82435e-05,5.82435e-05,5.82435e-05
21,90.7744,0.85366,0.44422,0.00344,0.91266,0.81717,0.92112,0.58475,1.3086,0.71517,0.01729,5.05e-05,5.05e-05,5.05e-05
22,99.0164,0.83453,0.42917,0.0034,0.90346,0.81911,0.91224,0.56328,1.36287,0.7423,0.01804,4.27565e-05,4.27565e-05,4.27565e-05
23,106.855,0.82033,0.42056,0.00329,0.89277,0.84079,0.92079,0.58245,1.32586,0.70005,0.01763,3.52037e-05,3.52037e-05,3.52037e-05
24,114.69,0.80473,0.41314,0.00323,0.89657,0.82832,0.91438,0.57494,1.32948,0.72531,0.01737,2.80275e-05,2.80275e-05,2.80275e-05
25,122.517,0.80478,0.40918,0.00316,0.89539,0.8422,0.92371,0.5882,1.30417,0.69659,0.01723,2.14046e-05,2.14046e-05,2.14046e-05
26,130.503,0.80239,0.41121,0.00316,0.90058,0.8401,0.92329,0.58236,1.32905,0.69772,0.01748,1.54982e-05,1.54982e-05,1.54982e-05
27,138.319,0.79888,0.41154,0.00321,0.9087,0.82924,0.92147,0.58461,1.31652,0.70463,0.01729,1.04537e-05,1.04537e-05,1.04537e-05
28,146.318,0.78103,0.39932,0.00307,0.90515,0.83358,0.92179,0.58964,1.30284,0.70253,0.01717,6.39518e-06,6.39518e-06,6.39518e-06
29,154.261,0.78185,0.40321,0.00312,0.90139,0.84368,0.92434,0.58937,1.30459,0.69403,0.01717,3.4227e-06,3.4227e-06,3.4227e-06
30,162.087,0.77833,0.39828,0.00309,0.90149,0.84327,0.92345,0.58869,1.30618,0.69542,0.01717,1.60943e-06,1.60943e-06,1.60943e-06
